id,predictions
0,1
1,3
2,1
3,3
4,5
5,1
6,3
7,16
8,1
9,1
10,5
11,1
12,7
13,0
14,8
15,5
16,1
17,10
18,5
19,5
20,0
21,0
22,7
23,5
24,5
25,0
26,0
27,1
28,3
29,1
30,0
31,2
32,5
33,1
34,1
35,3
36,5
37,2
38,1
39,0
40,1
41,1
42,7
43,1
44,0
45,1
46,3
47,1
48,1
49,8
50,1
51,1
52,1
53,1
54,1
55,5
56,0
57,3
58,8
59,5
60,2
61,8
62,3
63,7
64,1
65,5
66,0
67,1
68,1
69,1
70,4
71,3
72,0
73,3
74,1
75,0
76,1
77,7
78,3
79,5
80,3
81,7
82,0
83,3
84,0
85,3
86,0
87,2
88,1
89,3
90,1
91,1
92,3
93,0
94,3
95,0
96,2
97,7
98,0
99,5
100,1
101,3
102,1
103,3
104,1
105,5
106,3
107,7
108,2
109,3
110,3
111,10
112,3
113,0
114,1
115,0
116,3
117,5
118,1
119,3
120,0
121,5
122,3
123,0
124,0
125,1
126,5
127,5
128,0
129,8
130,3
131,5
132,5
133,5
134,5
135,3
136,3
137,1
138,3
139,0
140,3
141,0
142,0
143,3
144,0
145,1
146,1
147,5
148,1
149,0
150,5
151,2
152,8
153,8
154,7
155,3
156,0
157,0
158,0
159,5
160,7
161,1
162,1
163,0
164,3
165,0
166,5
167,0
168,3
169,1
170,1
171,1
172,3
173,3
174,3
175,1
176,1
177,3
178,3
179,3
180,19
181,0
182,3
183,3
184,0
185,1
186,1
187,3
188,3
189,7
190,0
191,1
192,3
193,7
194,3
195,8
196,25
197,3
198,25
199,0
200,3
201,8
202,0
203,0
204,3
205,7
206,3
207,3
208,7
209,0
210,3
211,1
212,3
213,0
214,7
215,2
216,2
217,0
218,3
219,5
220,3
221,6
222,5
223,19
224,5
225,1
226,5
227,3
228,3
229,5
230,1
231,3
232,1
233,3
234,2
235,0
236,3
237,3
238,7
239,7
240,0
241,1
242,3
243,1
244,5
245,3
246,3
247,3
248,7
249,1
250,3
251,0
252,0
253,0
254,0
255,0
256,0
257,3
258,3
259,1
260,0
261,3
262,0
263,3
264,7
265,1
266,0
267,0
268,0
269,3
270,3
271,3
272,1
273,1
274,1
275,3
276,19
277,0
278,5
279,0
280,5
281,1
282,7
283,3
284,1
285,3
286,3
287,5
288,5
289,3
290,3
291,19
292,7
293,3
294,1
295,1
296,7
297,3
298,0
299,3
300,5
301,0
302,3
303,0
304,1
305,1
306,5
307,3
308,7
309,3
310,0
311,0
312,6
313,2
314,3
315,5
316,1
317,3
318,0
319,5
320,0
321,7
322,0
323,0
324,3
325,0
326,1
327,2
328,3
329,3
330,5
331,5
332,1
333,3
334,3
335,26
336,3
337,3
338,3
339,3
340,3
341,3
342,1
343,0
344,19
345,5
346,3
347,0
348,3
349,0
350,7
351,7
352,3
353,0
354,5
355,5
356,3
357,1
358,1
359,3
360,3
361,0
362,3
363,3
364,8
365,0
366,3
367,3
368,7
369,0
370,5
371,3
372,3
373,14
374,3
375,0
376,3
377,3
378,0
379,0
380,0
381,3
382,8
383,7
384,0
385,0
386,0
387,5
388,5
389,0
390,0
391,3
392,7
393,5
394,3
395,0
396,5
397,3
398,0
399,5
400,0
401,5
402,0
403,0
404,0
405,1
406,0
407,5
408,5
409,1
410,5
411,5
412,3
413,0
414,3
415,3
416,3
417,0
418,0
419,1
420,5
421,0
422,0
423,1
424,5
425,7
426,1
427,3
428,3
429,1
430,7
431,3
432,1
433,0
434,0
435,0
436,1
437,5
438,0
439,0
440,8
441,3
442,5
443,5
444,1
445,7
446,1
447,5
448,3
449,3
450,1
451,1
452,0
453,0
454,0
455,5
456,5
457,0
458,5
459,3
460,0
461,3
462,5
463,3
464,3
465,5
466,3
467,3
468,10
469,0
470,1
471,0
472,0
473,5
474,0
475,3
476,1
477,0
478,0
479,1
480,0
481,3
482,0
483,0
484,3
485,3
486,0
487,0
488,0
489,5
490,5
491,3
492,0
493,1
494,0
495,0
496,5
497,0
498,7
499,1
500,0
501,21
502,3
503,0
504,7
505,1
506,0
507,5
508,0
509,3
510,0
511,0
512,10
513,0
514,0
515,10
516,3
517,2
518,0
519,0
520,0
521,5
522,0
523,0
524,3
525,1
526,0
527,1
528,0
529,3
530,0
531,19
532,3
533,0
534,1
535,5
536,1
537,3
538,3
539,7
540,2
541,0
542,1
543,3
544,0
545,5
546,0
547,0
548,0
549,5
550,0
551,1
552,0
553,0
554,0
555,3
556,0
557,3
558,0
559,1
560,0
561,3
562,0
563,1
564,1
565,0
566,1
567,1
568,0
569,5
570,3
571,0
572,0
573,3
574,0
575,0
576,0
577,3
578,0
579,5
580,0
581,1
582,0
583,16
584,5
585,5
586,1
587,3
588,1
589,0
590,0
591,1
592,5
593,1
594,1
595,0
596,10
597,0
598,5
599,1
600,7
601,3
602,0
603,3
604,1
605,7
606,1
607,0
608,5
609,3
610,1
611,1
612,1
613,0
614,0
615,6
616,0
617,0
618,0
619,3
620,0
621,0
622,0
623,3
624,0
625,5
626,0
627,7
628,3
629,5
630,0
631,5
632,21
633,0
634,7
635,3
636,0
637,5
638,0
639,0
640,0
641,5
642,3
643,2
644,0
645,0
646,0
647,0
648,0
649,1
650,1
651,1
652,10
653,1
654,5
655,0
656,5
657,1
658,0
659,2
660,10
661,0
662,0
663,0
664,1
665,5
666,0
667,0
668,0
669,1
670,13
671,1
672,1
673,8
674,1
675,0
676,1
677,3
678,0
679,1
680,1
681,1
682,5
683,1
684,1
685,10
686,1
687,0
688,0
689,7
690,0
691,7
692,1
693,1
694,5
695,0
696,1
697,16
698,1
699,1
700,0
701,1
702,0
703,1
704,5
705,1
706,0
707,0
708,1
709,5
710,10
711,0
712,1
713,2
714,0
715,5
716,10
717,5
718,10
719,5
720,7
721,1
722,26
723,5
724,11
725,10
726,10
727,0
728,1
729,1
730,1
731,10
732,3
733,1
734,5
735,10
736,2
737,5
738,5
739,1
740,5
741,10
742,0
743,1
744,8
745,5
746,3
747,5
748,8
749,3
750,5
751,5
752,3
753,8
754,8
755,5
756,8
757,5
758,6
759,3
760,1
761,5
762,8
763,0
764,8
765,3
766,3
767,2
768,0
769,5
770,5
771,0
772,0
773,5
774,8
775,7
776,3
777,0
778,16
779,3
780,2
781,0
782,7
783,0
784,5
785,5
786,0
787,0
788,3
789,0
790,0
791,0
792,3
793,2
794,10
795,7
796,0
797,1
798,0
799,7
800,0
801,0
802,0
803,5
804,0
805,3
806,8
807,3
808,7
809,1
810,0
811,3
812,3
813,0
814,0
815,7
816,10
817,7
818,2
819,3
820,0
821,3
822,3
823,7
824,3
825,6
826,2
827,0
828,2
829,2
830,1
831,0
832,2
833,2
834,10
835,0
836,0
837,3
838,8
839,0
840,0
841,3
842,5
843,5
844,3
845,7
846,0
847,7
848,3
849,0
850,0
851,7
852,0
853,1
854,0
855,0
856,7
857,7
858,1
859,2
860,0
861,1
862,16
863,10
864,3
865,1
866,7
867,10
868,7
869,1
870,0
871,1
872,7
873,7
874,1
875,3
876,8
877,7
878,1
879,0
880,10
881,7
882,0
883,3
884,3
885,1
886,0
887,7
888,7
889,6
890,3
891,3
892,10
893,2
894,1
895,1
896,7
897,0
898,0
899,1
900,0
901,7
902,0
903,1
904,2
905,0
906,5
907,7
908,3
909,29
910,7
911,1
912,1
913,1
914,16
915,1
916,1
917,1
918,0
919,3
920,1
921,0
922,7
923,7
924,3
925,3
926,19
927,10
928,1
929,26
930,0
931,7
932,0
933,1
934,0
935,7
936,7
937,1
938,7
939,1
940,1
941,7
942,0
943,7
944,0
945,16
946,0
947,0
948,1
949,3
950,1
951,1
952,0
953,10
954,0
955,1
956,8
957,0
958,1
959,1
960,1
961,0
962,0
963,8
964,10
965,0
966,0
967,1
968,7
969,0
970,0
971,10
972,1
973,2
974,1
975,1
976,0
977,1
978,1
979,6
980,1
981,7
982,0
983,10
984,6
985,0
986,2
987,6
988,8
989,1
990,1
991,5
992,1
993,6
994,10
995,6
996,1
997,1
998,7
999,2
1000,1
1001,0
1002,0
1003,1
1004,7
1005,1
1006,1
1007,1
1008,1
1009,1
1010,0
1011,1
1012,0
1013,10
1014,0
1015,0
1016,7
1017,0
1018,1
1019,10
1020,2
1021,1
1022,0
1023,10
1024,1
1025,0
1026,2
1027,0
1028,0
1029,1
1030,1
1031,0
1032,0
1033,1
1034,0
1035,1
1036,10
1037,10
1038,0
1039,0
1040,10
1041,0
1042,5
1043,0
1044,1
1045,0
1046,0
1047,2
1048,3
1049,0
1050,1
1051,0
1052,8
1053,0
1054,1
1055,0
1056,0
1057,7
1058,7
1059,1
1060,7
1061,1
1062,1
1063,1
1064,7
1065,1
1066,0
1067,0
1068,3
1069,7
1070,1
1071,3
1072,0
1073,1
1074,0
1075,3
1076,10
1077,1
1078,1
1079,0
1080,0
1081,1
1082,3
1083,3
1084,0
1085,3
1086,3
1087,0
1088,7
1089,2
1090,0
1091,8
1092,3
1093,0
1094,1
1095,0
1096,10
1097,3
1098,7
1099,0
1100,10
1101,0
1102,7
1103,0
1104,2
1105,3
1106,1
1107,1
1108,0
1109,1
1110,1
1111,1
1112,1
1113,8
1114,10
1115,3
1116,1
1117,0
1118,5
1119,1
1120,3
1121,3
1122,3
1123,0
1124,1
1125,3
1126,3
1127,1
1128,3
1129,3
1130,1
1131,0
1132,1
1133,1
1134,0
1135,3
1136,0
1137,1
1138,5
1139,10
1140,1
1141,1
1142,0
1143,7
1144,3
1145,0
1146,7
1147,7
1148,6
1149,0
1150,3
1151,1
1152,3
1153,0
1154,0
1155,2
1156,1
1157,1
1158,0
1159,1
1160,3
1161,3
1162,3
1163,0
1164,3
1165,0
1166,7
1167,3
1168,3
1169,7
1170,1
1171,2
1172,1
1173,3
1174,3
1175,1
1176,3
1177,3
1178,3
1179,1
1180,3
1181,0
1182,10
1183,1
1184,0
1185,1
1186,0
1187,0
1188,13
1189,3
1190,10
1191,3
1192,0
1193,1
1194,0
1195,7
1196,0
1197,0
1198,1
1199,0
1200,2
1201,3
1202,1
1203,7
1204,3
1205,0
1206,0
1207,1
1208,7
1209,3
1210,0
1211,3
1212,3
1213,3
1214,3
1215,3
1216,3
1217,3
1218,3
1219,3
1220,3
1221,3
1222,0
1223,1
1224,2
1225,3
1226,3
1227,0
1228,3
1229,0
1230,3
1231,5
1232,5
1233,2
1234,3
1235,0
1236,0
1237,2
1238,3
1239,2
1240,3
1241,2
1242,3
1243,0
1244,3
1245,0
1246,0
1247,2
1248,5
1249,3
1250,1
1251,1
1252,0
1253,5
1254,3
1255,3
1256,0
1257,3
